claim_id,policy_id,claim_date,claim_amount,status
1,39,2020-06-22,25435.01,rejected
2,28,2023-06-13,3393.19,rejected
3,43,2022-07-15,36760.71,rejected
4,9,2024-12-23,27637.93,rejected
5,38,2024-04-30,33823.99,approved
6,42,2022-10-22,8513.58,rejected
7,12,2018-07-25,14487.5,rejected
8,14,2023-02-06,17688.6,rejected
9,18,2022-09-23,14109.03,approved
10,31,2018-03-21,37953.16,approved
11,23,2020-07-07,33206.92,pending
12,3,2018-05-08,47581.36,approved
13,2,2024-12-19,9314.35,approved
14,31,2019-04-14,29070.54,approved
15,30,2020-11-15,38811.11,approved
16,39,2024-10-23,48259.27,pending
17,8,2019-11-02,48306.6,approved
18,38,2018-04-16,46586.58,pending
19,44,2022-03-18,21039.41,pending
20,13,2018-11-08,30420.7,pending
21,16,2019-02-22,35465.26,rejected
22,44,2024-09-25,40665.34,pending
23,3,2021-11-23,27571.77,pending
24,24,2018-10-10,26286.12,rejected
25,1,2022-09-17,41471.88,approved
26,28,2022-01-23,32508.09,rejected
27,46,2019-09-19,22903.38,pending
28,34,2021-01-11,31563.79,pending
29,50,2023-06-04,24313.94,pending
30,38,2021-01-04,17470.62,approved
31,6,2021-02-16,44318.3,approved
32,49,2023-03-19,29352.78,pending
33,25,2021-10-09,3377.6,rejected
34,12,2023-06-21,12181.75,rejected
35,22,2021-02-19,44255.36,pending
36,18,2024-03-26,2487.25,approved
37,6,2020-09-15,36563.58,rejected
38,36,2020-09-11,35149.25,pending
39,46,2023-07-04,23512.38,approved
40,6,2021-04-20,12636.63,pending
41,16,2021-06-08,33870.08,rejected
42,31,2024-03-17,27484.25,rejected
43,48,2024-03-04,17877.98,pending
44,30,2021-01-14,16717.9,approved
45,8,2020-02-28,17146.3,pending
46,35,2020-01-29,11193.97,pending
47,31,2021-02-06,36780.08,pending
48,39,2021-03-05,49064.51,approved
49,19,2020-07-20,19322.29,rejected
50,1,2023-12-28,8075.98,approved
