policy_id,cust_id,policy_Type,status,Start_Date,Coverage_Amount
1,40,Health,inactive,16/05/2022,57050.44
2,17,Health,inactive,04/09/2017,21779.05
3,42,Auto,inactive,19/07/2018,94216.09
4,1,Auto,active,28/10/2015,55529.62
5,9,Auto,active,27/09/2017,24197.21
6,35,Life,inactive,10/11/2021,82638.99
7,34,Health,inactive,10/06/2022,89031.43
8,17,Health,active,16/03/2021,35358.06
9,14,Life,inactive,13/04/2017,86762.15
10,33,Auto,inactive,28/07/2015,not available
11,28,Auto,active,15/01/2015,21773.77
12,17,Health,inactive,09/03/2021,60481.62
13,8,Health,active,12/02/2021,not available
14,24,Life,active,27/10/2019,37743.25
15,3,Auto,active,25/08/2022,19251.43
16,50,Life,inactive,17/12/2021,93318.74
17,16,Health,active,16/08/2019,not available
18,48,Auto,inactive,06/07/2022,82967.44
19,18,Health,active,16/04/2019,87273.39
20,15,Health,inactive,03/12/2018,81581.09
21,15,Health,active,27/05/2022,39543.58
22,5,Auto,inactive,12/03/2022,71156.63
23,35,Auto,active,17/04/2016,33509.37
24,38,Auto,active,20/03/2016,41111.84
25,21,Auto,active,27/04/2019,27107.09
26,3,Life,inactive,07/01/2015,82585.98
27,44,Life,active,31/01/2019,95398.7
28,22,Life,inactive,10/06/2022,74777.88
29,20,Life,inactive,24/06/2022,46216.03
30,19,Life,active,24/02/2017,94632.73
31,44,Life,active,26/11/2021,46546.77
32,1,Auto,inactive,10/05/2017,62198.63
33,42,Auto,inactive,15/12/2019,29233.13
34,31,Life,active,22/05/2022,not available
35,33,Life,inactive,18/01/2016,77602.43
36,44,Auto,active,26/03/2017,14159.23
37,31,Life,active,09/02/2020,66678.88
38,13,Life,inactive,17/07/2020,23281.42
39,45,Health,active,08/10/2019,82369.89
40,45,Life,inactive,25/07/2015,92572.3
41,8,Auto,active,18/03/2020,98910.32
42,39,Auto,inactive,14/11/2021,90281.83
43,28,Life,inactive,13/10/2016,52720.7
44,17,Health,inactive,05/11/2020,31532.13
45,29,Health,inactive,18/08/2017,38773.86
46,35,Health,active,09/09/2016,72455.48
47,46,Health,active,27/08/2019,58835.0
48,27,Health,active,17/09/2019,79281.62
49,45,Health,inactive,07/05/2020,not available
50,23,Auto,inactive,13/09/2019,76117.07
